抽せん日,回別,本数字,ボーナス数字,口数,購入金額,当せん金額,収支,最高等級,最高本数字一致数,当せん口数,予測1,予測1_戦略,予測1_本数字一致,予測1_ボーナス一致,予測1_等級,予測1_当せん金額,予測2,予測2_戦略,予測2_本数字一致,予測2_ボーナス一致,予測2_等級,予測2_当せん金額,予測3,予測3_戦略,予測3_本数字一致,予測3_ボーナス一致,予測3_等級,予測3_当せん金額,予測4,予測4_戦略,予測4_本数字一致,予測4_ボーナス一致,予測4_等級,予測4_当せん金額,予測5,予測5_戦略,予測5_本数字一致,予測5_ボーナス一致,予測5_等級,予測5_当せん金額,予測6,予測6_戦略,予測6_本数字一致,予測6_ボーナス一致,予測6_等級,予測6_当せん金額,予測7,予測7_戦略,予測7_本数字一致,予測7_ボーナス一致,予測7_等級,予測7_当せん金額,予測8,予測8_戦略,予測8_本数字一致,予測8_ボーナス一致,予測8_等級,予測8_当せん金額,予測9,予測9_戦略,予測9_本数字一致,予測9_ボーナス一致,予測9_等級,予測9_当せん金額,予測10,予測10_戦略,予測10_本数字一致,予測10_ボーナス一致,予測10_等級,予測10_当せん金額
2013-06-21,12,"11, 12, 14, 19, 26, 27, 33","24, 32",10,3000,0,-3000,ハズレ,0,0,"02, 03, 23, 28, 29, 30, 36",MCTS,0,0,ハズレ,0,"03, 15, 23, 28, 29, 30, 36",MCTS,0,0,ハズレ,0,"02, 03, 15, 23, 28, 29, 30",MCTS,0,0,ハズレ,0,"03, 15, 23, 29, 30, 34, 36",GRADE3,0,0,ハズレ,0,"03, 15, 23, 28, 30, 34, 36",GRADE3,0,0,ハズレ,0,"02, 03, 15, 28, 29, 30, 36",MCTS,0,0,ハズレ,0,"03, 15, 23, 28, 29, 30, 34",MCTS,0,0,ハズレ,0,"03, 23, 24, 28, 29, 30, 36",MCTS,0,1,ハズレ,0,"15, 23, 28, 29, 30, 34, 36",GRADE3,0,0,ハズレ,0,"02, 03, 23, 28, 29, 30, 34",MCTS,0,0,ハズレ,0
2013-06-28,13,"06, 10, 16, 21, 27, 28, 35","15, 34",10,3000,0,-3000,ハズレ,2,0,"02, 03, 23, 24, 28, 29, 30",MCTS,1,0,ハズレ,0,"03, 15, 23, 29, 30, 34, 36",GRADE3,0,2,ハズレ,0,"01, 03, 05, 15, 23, 28, 30",DIFFUSION,1,1,ハズレ,0,"01, 02, 05, 28, 29, 34, 36",MONTECARLO,1,1,ハズレ,0,"01, 02, 21, 26, 27, 34, 36",MONTECARLO,2,1,ハズレ,0,"07, 09, 12, 19, 24, 26, 33",DIFFUSION,0,0,ハズレ,0,"08, 12, 14, 17, 33, 35, 37",MULTI_AGENT_PPO,1,0,ハズレ,0,"09, 14, 19, 20, 21, 26, 35",DIFFUSION,2,0,ハズレ,0,"07, 08, 16, 18, 24, 25, 35",MULTI_AGENT_PPO,2,0,ハズレ,0,"06, 07, 13, 17, 19, 20, 21",MULTI_AGENT_PPO,2,0,ハズレ,0
2013-07-05,14,"04, 07, 08, 09, 24, 28, 30","34, 36",10,3000,1000,-2000,6等,3,1,"03, 15, 23, 27, 28, 30, 34",GRADE3,2,1,ハズレ,0,"01, 02, 03, 23, 28, 30, 36",MONTECARLO,2,1,ハズレ,0,"03, 16, 21, 23, 28, 29, 30",MONTECARLO,2,0,ハズレ,0,"01, 02, 21, 26, 27, 29, 33",MONTECARLO,0,0,ハズレ,0,"01, 02, 21, 27, 32, 35, 36",MONTECARLO,0,1,ハズレ,0,"07, 08, 12, 19, 24, 26, 34",MULTI_AGENT_PPO,3,1,6等,1000,"07, 10, 12, 13, 16, 29, 31",MULTI_AGENT_PPO,1,0,ハズレ,0,"04, 08, 11, 12, 15, 17, 19",MULTI_AGENT_PPO,2,0,ハズレ,0,"04, 08, 10, 18, 24, 35, 37",MULTI_AGENT_PPO,3,0,ハズレ,0,"10, 13, 17, 18, 20, 24, 37",MULTI_AGENT_PPO,1,0,ハズレ,0
2013-07-12,15,"02, 10, 14, 17, 23, 25, 35","08, 29",10,3000,0,-3000,ハズレ,1,0,"03, 07, 23, 24, 28, 29, 30",MCTS,1,1,ハズレ,0,"01, 03, 07, 24, 27, 28, 30",MONTECARLO,0,0,ハズレ,0,"03, 21, 23, 24, 28, 29, 30",MCTS,1,1,ハズレ,0,"03, 23, 24, 28, 29, 30, 34",MCTS,1,1,ハズレ,0,"03, 23, 24, 27, 28, 29, 30",MCTS,1,1,ハズレ,0,"03, 15, 21, 23, 28, 30, 36",MONTECARLO,1,0,ハズレ,0,"03, 23, 24, 27, 28, 30, 34",GRADE3,1,0,ハズレ,0,"07, 23, 24, 27, 28, 29, 30",MCTS,1,1,ハズレ,0,"03, 07, 23, 27, 28, 29, 30",MCTS,1,1,ハズレ,0,"03, 21, 23, 24, 28, 30, 34",MCTS,1,0,ハズレ,0
2013-07-19,16,"05, 06, 09, 13, 16, 21, 23","08, 34",10,3000,0,-3000,ハズレ,1,0,"03, 07, 23, 24, 28, 29, 30",MCTS,1,0,ハズレ,0,"03, 07, 23, 24, 27, 28, 30",MCTS,1,0,ハズレ,0,"01, 02, 07, 24, 28, 29, 30",MONTECARLO,0,0,ハズレ,0,"03, 15, 23, 24, 28, 29, 30",MCTS,1,0,ハズレ,0,"02, 03, 23, 27, 28, 30, 35",GRADE3,1,0,ハズレ,0,"03, 23, 24, 28, 29, 30, 35",MCTS,1,0,ハズレ,0,"01, 03, 12, 23, 24, 28, 30",MONTECARLO,1,0,ハズレ,0,"03, 23, 24, 27, 28, 30, 35",MCTS,1,0,ハズレ,0,"02, 03, 23, 28, 29, 30, 35",GRADE3,1,0,ハズレ,0,"03, 23, 24, 27, 28, 29, 30",MCTS,1,0,ハズレ,0
2013-07-26,17,"02, 03, 05, 22, 34, 36, 37","07, 15",10,3000,0,-3000,ハズレ,2,0,"02, 05, 06, 16, 21, 23, 28",MONTECARLO,2,0,ハズレ,0,"01, 06, 16, 21, 23, 28, 30",MONTECARLO,0,0,ハズレ,0,"02, 21, 23, 24, 28, 30, 35",MCTS,1,0,ハズレ,0,"02, 23, 24, 28, 29, 30, 35",MCTS,1,0,ハズレ,0,"02, 21, 23, 28, 29, 30, 35",GRADE3,1,0,ハズレ,0,"02, 23, 24, 28, 29, 30, 36",MCTS,2,0,ハズレ,0,"02, 03, 21, 24, 27, 28, 30",MONTECARLO,2,0,ハズレ,0,"02, 21, 23, 27, 28, 30, 35",GRADE3,1,0,ハズレ,0,"02, 23, 24, 28, 29, 30, 34",MCTS,2,0,ハズレ,0,"02, 21, 23, 28, 29, 30, 34",MCTS,2,0,ハズレ,0
2013-08-02,18,"12, 17, 21, 24, 29, 31, 36","20, 26",10,3000,0,-3000,ハズレ,2,0,"02, 03, 05, 23, 24, 28, 30",MCTS,1,0,ハズレ,0,"02, 03, 05, 21, 23, 28, 30",MCTS,1,0,ハズレ,0,"02, 03, 05, 23, 28, 30, 34",MCTS,0,0,ハズレ,0,"02, 03, 23, 24, 28, 29, 30",MCTS,2,0,ハズレ,0,"02, 03, 23, 24, 28, 30, 34",MCTS,1,0,ハズレ,0,"02, 03, 05, 23, 28, 29, 30",MCTS,1,0,ハズレ,0,"03, 05, 23, 24, 28, 30, 34",MCTS,1,0,ハズレ,0,"02, 03, 05, 23, 27, 28, 30",MCTS,0,0,ハズレ,0,"02, 05, 23, 24, 28, 29, 30",MCTS,2,0,ハズレ,0,"02, 05, 23, 24, 28, 30, 34",MCTS,1,0,ハズレ,0
2013-08-09,19,"02, 14, 19, 20, 21, 22, 31","01, 15",10,3000,0,-3000,ハズレ,2,0,"02, 21, 24, 28, 29, 30, 36",MCTS,2,0,ハズレ,0,"02, 03, 21, 28, 29, 30, 36",MONTECARLO,2,0,ハズレ,0,"02, 21, 23, 28, 29, 30, 36",MCTS,2,0,ハズレ,0,"02, 21, 23, 24, 28, 29, 36",MCTS,2,0,ハズレ,0,"02, 03, 21, 23, 28, 29, 36",MCTS,2,0,ハズレ,0,"02, 05, 21, 23, 28, 29, 36",MCTS,2,0,ハズレ,0,"02, 05, 21, 23, 28, 30, 36",GRADE3,2,0,ハズレ,0,"02, 05, 21, 28, 29, 30, 36",GRADE3,2,0,ハズレ,0,"21, 23, 24, 28, 29, 30, 36",MCTS,1,0,ハズレ,0,"02, 03, 21, 23, 28, 29, 30",MCTS,2,0,ハズレ,0
2013-08-16,20,"02, 05, 13, 20, 21, 23, 28","11, 22",10,3000,28000,25000,4等,5,9,"02, 21, 24, 28, 29, 30, 36",MCTS,3,0,ハズレ,0,"02, 21, 23, 28, 29, 30, 36",MCTS,4,0,5等,1400,"02, 21, 23, 24, 28, 29, 36",MCTS,4,0,5等,1400,"02, 03, 21, 23, 28, 29, 36",MCTS,4,0,5等,1400,"02, 03, 05, 21, 28, 29, 36",GRADE3,4,0,5等,1400,"02, 05, 21, 23, 28, 29, 36",MCTS,5,0,4等,9100,"02, 03, 05, 21, 23, 28, 36",GRADE3,5,0,4等,9100,"02, 21, 23, 24, 28, 30, 36",MCTS,4,0,5等,1400,"02, 03, 21, 23, 24, 28, 36",MCTS,4,0,5等,1400,"02, 14, 21, 23, 28, 29, 36",MCTS,4,0,5等,1400
2013-08-23,21,"01, 09, 13, 15, 25, 30, 33","19, 28",10,3000,0,-3000,ハズレ,1,0,"02, 05, 21, 23, 28, 29, 36",MCTS,0,1,ハズレ,0,"02, 03, 05, 21, 23, 28, 36",DIFFUSION,0,1,ハズレ,0,"02, 05, 21, 23, 28, 30, 36",MCTS,1,1,ハズレ,0,"02, 05, 21, 23, 28, 29, 30",MCTS,1,1,ハズレ,0,"02, 05, 21, 23, 28, 34, 36",MCTS,0,1,ハズレ,0,"02, 05, 21, 23, 24, 28, 29",GRADE3,0,1,ハズレ,0,"02, 05, 21, 23, 24, 28, 36",MCTS,0,1,ハズレ,0,"02, 03, 05, 21, 23, 28, 29",MCTS,0,1,ハズレ,0,"02, 05, 21, 23, 28, 29, 34",MCTS,0,1,ハズレ,0,"02, 21, 23, 24, 28, 29, 36",GRADE3,0,1,ハズレ,0
2013-08-30,22,"02, 04, 08, 09, 15, 23, 25","03, 10",10,3000,0,-3000,ハズレ,2,0,"02, 05, 13, 21, 23, 28, 36",MCTS,2,0,ハズレ,0,"02, 05, 21, 23, 28, 30, 36",MCTS,2,0,ハズレ,0,"02, 05, 21, 23, 28, 29, 36",GRADE3,2,0,ハズレ,0,"02, 05, 21, 23, 28, 29, 30",MCTS,2,0,ハズレ,0,"02, 03, 05, 21, 23, 28, 36",MCTS,2,1,ハズレ,0,"02, 05, 21, 23, 24, 28, 30",MCTS,2,0,ハズレ,0,"02, 03, 21, 23, 28, 30, 36",MCTS,2,1,ハズレ,0,"02, 05, 21, 23, 28, 34, 36",MCTS,2,0,ハズレ,0,"02, 21, 23, 28, 29, 30, 36",MCTS,2,0,ハズレ,0,"02, 05, 21, 28, 29, 30, 36",GRADE3,1,0,ハズレ,0
2013-09-06,23,"04, 08, 11, 25, 28, 29, 30","14, 32",10,3000,0,-3000,ハズレ,3,0,"02, 05, 09, 13, 21, 23, 28",MCTS,1,0,ハズレ,0,"02, 05, 13, 21, 23, 28, 30",MCTS,2,0,ハズレ,0,"02, 05, 13, 21, 23, 28, 36",MCTS,1,0,ハズレ,0,"02, 03, 05, 13, 21, 23, 28",MCTS,1,0,ハズレ,0,"02, 05, 09, 21, 23, 28, 30",MCTS,2,0,ハズレ,0,"02, 05, 13, 15, 21, 23, 28",MCTS,1,0,ハズレ,0,"02, 05, 15, 21, 23, 28, 30",GRADE3,2,0,ハズレ,0,"02, 05, 21, 23, 28, 29, 30",MCTS,3,0,ハズレ,0,"02, 05, 09, 15, 21, 23, 28",GRADE3,1,0,ハズレ,0,"02, 05, 09, 21, 23, 28, 29",MCTS,2,0,ハズレ,0
2013-09-13,24,"04, 05, 08, 10, 16, 19, 33","02, 29",10,3000,0,-3000,ハズレ,1,0,"02, 05, 21, 23, 28, 29, 30",MCTS,1,2,ハズレ,0,"02, 05, 09, 21, 23, 28, 30",MCTS,1,1,ハズレ,0,"02, 04, 21, 23, 28, 29, 30",MCTS,1,2,ハズレ,0,"02, 05, 15, 21, 23, 28, 30",MCTS,1,1,ハズレ,0,"02, 21, 23, 28, 29, 30, 36",MCTS,0,2,ハズレ,0,"02, 09, 21, 23, 28, 29, 30",MCTS,0,2,ハズレ,0,"02, 09, 15, 21, 23, 28, 30",MCTS,0,1,ハズレ,0,"02, 21, 23, 25, 28, 29, 30",MCTS,0,2,ハズレ,0,"02, 05, 09, 21, 23, 28, 29",GRADE3,1,2,ハズレ,0,"02, 15, 21, 23, 28, 29, 30",MCTS,0,2,ハズレ,0
2013-09-20,25,"01, 06, 11, 16, 17, 18, 21","10, 24",10,3000,0,-3000,ハズレ,1,0,"02, 04, 05, 13, 21, 23, 28",MCTS,1,0,ハズレ,0,"02, 04, 05, 21, 23, 28, 30",GRADE3,1,0,ハズレ,0,"02, 05, 21, 23, 28, 29, 30",GRADE3,1,0,ハズレ,0,"02, 04, 05, 21, 23, 28, 29",MCTS,1,0,ハズレ,0,"02, 04, 21, 23, 28, 29, 30",GRADE3,1,0,ハズレ,0,"02, 04, 05, 09, 21, 23, 28",MCTS,1,0,ハズレ,0,"02, 04, 05, 21, 23, 28, 36",MCTS,1,0,ハズレ,0,"02, 05, 09, 21, 23, 28, 29",MCTS,1,0,ハズレ,0,"04, 05, 21, 23, 28, 29, 30",GRADE3,1,0,ハズレ,0,"02, 04, 05, 21, 28, 29, 30",GRADE3,1,0,ハズレ,0
2013-09-27,26,"11, 13, 16, 18, 26, 31, 36","21, 27",10,3000,0,-3000,ハズレ,0,0,"02, 04, 05, 21, 23, 28, 30",MCTS,0,1,ハズレ,0,"02, 05, 21, 23, 28, 29, 30",MCTS,0,1,ハズレ,0,"02, 04, 21, 23, 28, 29, 30",MCTS,0,1,ハズレ,0,"02, 04, 05, 21, 23, 28, 29",MCTS,0,1,ハズレ,0,"02, 04, 05, 08, 21, 23, 28",MCTS,0,1,ハズレ,0,"02, 04, 05, 21, 23, 25, 28",MCTS,0,1,ハズレ,0,"02, 04, 05, 09, 21, 23, 28",MCTS,0,1,ハズレ,0,"04, 05, 21, 23, 28, 29, 30",GRADE3,0,1,ハズレ,0,"02, 04, 05, 21, 28, 29, 30",GRADE3,0,1,ハズレ,0,"02, 04, 09, 21, 23, 28, 29",MCTS,0,1,ハズレ,0
2013-10-04,27,"01, 10, 11, 14, 17, 18, 28","25, 26",10,3000,0,-3000,ハズレ,2,0,"02, 05, 13, 16, 21, 23, 28",MCTS,1,0,ハズレ,0,"02, 05, 13, 21, 23, 28, 30",MCTS,1,0,ハズレ,0,"02, 04, 05, 16, 21, 23, 28",GRADE3,1,0,ハズレ,0,"02, 05, 16, 21, 23, 28, 30",MCTS,1,0,ハズレ,0,"02, 04, 05, 21, 23, 28, 30",MCTS,1,0,ハズレ,0,"02, 05, 21, 23, 28, 30, 36",MCTS,1,0,ハズレ,0,"04, 05, 16, 21, 23, 28, 30",GRADE3,1,0,ハズレ,0,"02, 05, 11, 16, 21, 23, 28",MCTS,2,0,ハズレ,0,"02, 05, 21, 23, 28, 29, 30",MCTS,1,0,ハズレ,0,"02, 05, 13, 16, 21, 28, 30",MCTS,1,0,ハズレ,0
2013-10-11,28,"06, 07, 12, 15, 19, 35, 37","01, 11",10,3000,0,-3000,ハズレ,2,0,"02, 04, 05, 16, 21, 23, 28",MCTS,0,0,ハズレ,0,"01, 02, 04, 21, 25, 28, 30",MONTECARLO,0,1,ハズレ,0,"01, 05, 09, 21, 23, 28, 30",MONTECARLO,0,1,ハズレ,0,"04, 05, 08, 15, 23, 25, 30",MONTECARLO,1,0,ハズレ,0,"01, 03, 11, 13, 16, 22, 36",DIFFUSION,0,2,ハズレ,0,"11, 12, 14, 16, 17, 18, 24",DIFFUSION,1,1,ハズレ,0,"02, 06, 08, 09, 13, 15, 29",MONTECARLO,2,0,ハズレ,0,"08, 10, 11, 18, 29, 33, 37",MULTI_AGENT_PPO,1,1,ハズレ,0,"07, 14, 15, 22, 25, 31, 36",DIFFUSION,2,0,ハズレ,0,"09, 17, 27, 29, 34, 35, 37",MULTI_AGENT_PPO,2,0,ハズレ,0
2013-10-18,29,"02, 03, 16, 17, 24, 26, 28","15, 31",10,3000,0,-3000,ハズレ,3,0,"02, 05, 16, 21, 23, 28, 30",MCTS,3,0,ハズレ,0,"01, 02, 05, 16, 21, 23, 28",MCTS,3,0,ハズレ,0,"02, 05, 11, 16, 21, 23, 28",MCTS,3,0,ハズレ,0,"02, 05, 11, 21, 23, 28, 30",MCTS,2,0,ハズレ,0,"01, 02, 05, 21, 23, 28, 30",MCTS,2,0,ハズレ,0,"01, 05, 11, 16, 21, 23, 28",GRADE3,2,0,ハズレ,0,"01, 02, 11, 16, 21, 23, 28",MCTS,3,0,ハズレ,0,"01, 04, 06, 11, 16, 21, 28",MONTECARLO,2,0,ハズレ,0,"01, 02, 05, 11, 16, 21, 28",GRADE3,3,0,ハズレ,0,"01, 02, 05, 11, 21, 23, 28",MCTS,2,0,ハズレ,0
